task_id,status
P0.001,COMPLETE
P0.002,COMPLETE
P0.003,COMPLETE
P0.004,COMPLETE
P0.005,COMPLETE
P0.006,COMPLETE
P0.007,COMPLETE
P0.008,COMPLETE
P0.009,COMPLETE
P0.010,COMPLETE
P0.011,COMPLETE
P0.012,COMPLETE
P0.013,COMPLETE
P0.014,COMPLETE
P0.015,COMPLETE
P1.001,COMPLETE
P1.002,COMPLETE
P1.003,COMPLETE
P1.004,BLOCKED
P1.005,BLOCKED
P1.006,BLOCKED
P1.007,BLOCKED
P1.008,COMPLETE
P1.009,COMPLETE
P1.010,NOT_APPLICABLE
P1.011,READY
P1.012,READY
P1.013,BLOCKED
P1.014,BLOCKED
P1.015,BLOCKED
P2.001,NOT_STARTED
P2.002,NOT_STARTED
P2.003,NOT_STARTED
P2.004,NOT_STARTED
P2.005,NOT_STARTED
P2.006,NOT_STARTED
P2.007,NOT_STARTED
P2.008,NOT_STARTED
P2.009,NOT_STARTED
P2.010,NOT_STARTED
P2.011,NOT_STARTED
P2.012,NOT_STARTED
P2.013,NOT_STARTED
P2.014,NOT_STARTED
P2.015,NOT_STARTED
P2.016,NOT_STARTED
P2.017,NOT_STARTED
P3.001,NOT_STARTED
P3.002,NOT_STARTED
P3.003,NOT_STARTED
P3.004,NOT_STARTED
P3.005,NOT_STARTED
P3.006,NOT_STARTED
P3.007,NOT_STARTED
P3.008,NOT_STARTED
P3.009,NOT_STARTED
P3.010,NOT_STARTED
P3.011,NOT_STARTED
P3.012,NOT_STARTED
P3.013,NOT_STARTED
P3.014,NOT_STARTED
P3.015,NOT_STARTED
P3.016,NOT_STARTED
P3.017,NOT_STARTED
P4.001,NOT_STARTED
P4.002,NOT_STARTED
P4.003,NOT_STARTED
P4.004,NOT_STARTED
P4.005,NOT_STARTED
P4.006,NOT_STARTED
P4.007,NOT_STARTED
P4.008,NOT_STARTED
P4.009,NOT_STARTED
P4.010,NOT_STARTED
P4.011,NOT_STARTED
P4.012,NOT_STARTED
P4.013,NOT_STARTED
P4.014,NOT_STARTED
P4.015,NOT_STARTED
P5.001,NOT_STARTED
P5.002,NOT_STARTED
P5.003,NOT_STARTED
P5.004,NOT_STARTED
P5.005,NOT_STARTED
P5.006,NOT_STARTED
P5.007,NOT_STARTED
P5.008,NOT_STARTED
P5.009,NOT_STARTED
P5.010,NOT_STARTED
